disease,advice,doctor,urgency
flu,Consult a general physician for evaluation.,General Physician,routine
common_cold,Consult a general physician for evaluation.,General Physician,routine
migraine,Consult a general physician for evaluation.,General Physician,routine
heart_attack,Consult a cardiologist for heart health evaluation.,Cardiologist,urgent
food_poisoning,Consult a general physician for evaluation.,General Physician,routine
viral_fever,"Rest, hydrate, and consult a physician if symptoms worsen.",General Physician,routine
allergy,Consult a general physician for evaluation.,General Physician,routine
dengue,Consult a general physician for evaluation.,General Physician,routine
urinary_tract_infection,"Rest, hydrate, and consult a physician if symptoms worsen.",General Physician,routine
diabetes_warning,Monitor blood sugar and consult an endocrinologist.,Endocrinologist,urgent
asthma,Consult a general physician for evaluation.,General Physician,routine
appendicitis_warning,Consult a general physician for evaluation.,General Physician,routine
hepatitis_warning,Consult a general physician for evaluation.,General Physician,routine
muscle_strain,Consult a general physician for evaluation.,General Physician,routine
conjunctivitis,Consult a general physician for evaluation.,General Physician,routine
allergic_rhinitis,Consult a general physician for evaluation.,General Physician,routine
chikungunya_warning,Consult a general physician for evaluation.,General Physician,routine
panic_attack,Consult a general physician for evaluation.,General Physician,routine
high_blood_pressure_warning,Consult a cardiologist for heart health evaluation.,Cardiologist,urgent
malaria,Consult a general physician for evaluation.,General Physician,routine
typhoid,Consult a general physician for evaluation.,General Physician,routine
covid_like_infection,"Rest, hydrate, and consult a physician if symptoms worsen.",General Physician,routine
anemia,Consult a general physician for evaluation.,General Physician,routine
dehydration,Consult a general physician for evaluation.,General Physician,routine
sinusitis,Consult a general physician for evaluation.,General Physician,routine
arthritis,Consult a rheumatologist for joint pain.,Rheumatologist,routine
constipation,Consult a general physician for evaluation.,General Physician,routine
ear_infection,"Rest, hydrate, and consult a physician if symptoms worsen.",General Physician,routine
kidney_infection,"Rest, hydrate, and consult a physician if symptoms worsen.",General Physician,routine
jaundice,Consult a general physician for evaluation.,General Physician,routine
heart_failure,Consult a cardiologist for heart health evaluation.,Cardiologist,urgent
meningitis,Consult a general physician for evaluation.,General Physician,routine
colorectal_cancer,Consult an oncologist for diagnosis and treatment.,Oncologist,urgent
tuberculosis,Consult a general physician for evaluation.,General Physician,routine
migraine_with_aura,Consult a general physician for evaluation.,General Physician,routine
hypothyroidism,Consult a general physician for evaluation.,General Physician,routine
diabetes_mellitus,Monitor blood sugar and consult an endocrinologist.,Endocrinologist,urgent
chronic_obstructive_pulmonary_disease,Consult a general physician for evaluation.,General Physician,routine
ovarian_cyst,Consult a general physician for evaluation.,General Physician,routine
polycystic_ovary_syndrome,Consult a general physician for evaluation.,General Physician,routine
gerd,Consult a general physician for evaluation.,General Physician,routine
stroke,Consult a general physician for evaluation.,General Physician,routine
tonsillitis,Consult a general physician for evaluation.,General Physician,routine
pink_eye,Consult an ophthalmologist for eye care.,Ophthalmologist,routine
tinnitus,Consult a general physician for evaluation.,General Physician,routine
bladder_infection,"Rest, hydrate, and consult a physician if symptoms worsen.",General Physician,routine
hyperthyroidism,Consult a general physician for evaluation.,General Physician,routine
